Gene,Pathway,Gene_id
PAL_1,Flavonoid,AHp012752
PAL_2,Flavonoid,AHp021980
C4H_1,Flavonoid,AHp013217
C4H_2,Flavonoid,AHp022384
C4H_3,Flavonoid,AHp022382
4CL_1,Flavonoid,AHp014409
4CL_2,Flavonoid,AHp020962
CHS,Flavonoid,AHp004305
CHI1,Flavonoid,AHp009962
F3-H_1,Flavonoid,AHp017497
F3-H_2,Flavonoid,AHp022122
F3-H_3,Flavonoid,AHp003152
F3-H_4,Flavonoid,AHp022120
F3-H_5,Flavonoid,AHp022123
DFR,Flavonoid,AHp009303
F3H,Flavonoid,AHp006454
FLS,Flavonoid,AHp008991
LAR,Flavonoid,AHp017409
ANS,Flavonoid,AHp021795
AhCYP76AD2,Betalain,AHp023148
AhCYP76AD5,Betalain,AHp000674
AhDODAα2,Betalain,AHp010386
AhDODAα1,Betalain,AHp023147
AhcDOPA5GT,Betalain,AHp007219
AhBetanidin5GT,Betalain,AHp001663
AhBetanidin6GT,Betalain,AHp005940
AhMYB2,Betalain,AHp022773
AhMYB3,Betalain,AHp016530
AhMYB4,Betalain,AHp016531
